N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
2,2,8,2,inceptionv3,conv64/Convolution,2663896,472,170459136,589824,170459136,170459136,170459136,887808,86707200,85229568,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv65/Convolution,32627402,458,2088124416,122830848,85229568,85229568,2088124416,10875648,176321280,42614784,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv66/Convolution,668181,2325,42614784,147456,3551232,3551232,42614784,221952,2145024,1775616,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv67/Convolution,32627402,458,2088124416,122830848,85229568,85229568,2088124416,10875648,176321280,42614784,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv68/Convolution,668181,2325,42614784,147456,3551232,3551232,42614784,221952,2145024,1775616,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv69/Convolution,2663896,472,170459136,589824,170459136,170459136,170459136,887808,86707200,85229568,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv70/Convolution,2663896,472,170459136,589824,170459136,170459136,170459136,887808,86707200,85229568,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv71/Convolution,2212185,345,141557760,17694720,3932160,3932160,141557760,442368,20103168,1966080,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv72/Convolution,2663896,472,170459136,589824,170459136,170459136,170459136,887808,86707200,85229568,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv73/Convolution,2663676,252,85229568,294912,170459136,170459136,85229568,443904,85968384,85229568,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv74/Convolution,130508075,299,4176248832,245661696,172234752,172234752,4176248832,1044062208,1291499520,1775616,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv75/Convolution,1327493,389,84934656,2654208,9830400,9830400,84934656,42467328,45514752,393216,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv76/Convolution,6553784,184,209715200,13107200,419430400,419430400,209715200,655360,223477760,209715200,70,65536,16384,32768,1
